coil,foam_material,foam_thickness,metal
C1,FoamA,T1,MetalC
C1,FoamA,T2,MetalA
C1,FoamA,T3,MetalB
C1,FoamB,T2,MetalB
C1,FoamB,T3,MetalA
C1,FoamB,T3,MetalC
C1,FoamC,T1,MetalA
C1,FoamC,T1,MetalC
C1,FoamC,T2,MetalB
C2,FoamA,T1,MetalB
C2,FoamA,T2,MetalC
C2,FoamA,T3,MetalB
C2,FoamA,T3,MetalC
C2,FoamB,T1,MetalA
C2,FoamB,T1,MetalB
C2,FoamB,T3,MetalA
C2,FoamC,T1,MetalB
C2,FoamC,T2,MetalA
C2,FoamC,T2,MetalC
C3,FoamA,T1,MetalA
C3,FoamA,T1,MetalB
C3,FoamA,T2,MetalA
C3,FoamB,T1,MetalC
C3,FoamB,T2,MetalB
C3,FoamB,T2,MetalC
C3,FoamC,T3,MetalA
C3,FoamC,T3,MetalB
C3,FoamC,T3,MetalC
