,coil[8],coil[10],foam_material[H870],foam_material[Poron],foam_thickness[2.39],metal[aluminum],metal[ss mesh],foam_material[H870]:foam_thickness[2.39],foam_material[Poron]:foam_thickness[2.39],foam_thickness[2.39]:metal[aluminum],foam_thickness[2.39]:metal[ss mesh],foam_thickness[2.39]:coil[8],foam_thickness[2.39]:coil[10]
coil[8],1.0000000000000002,0.5000000000000001,-7.365325346326633e-19,-7.365325346326633e-19,2.442151877045586e-18,7.365325346326633e-19,7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19,7.365325346326633e-19,7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19
coil[10],0.5000000000000001,1.0000000000000002,-7.365325346326633e-19,-7.365325346326633e-19,2.442151877045586e-18,-7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19
foam_material[H870],-7.365325346326633e-19,-7.365325346326633e-19,1.0000000000000002,0.5000000000000001,2.442151877045586e-18,-7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19
foam_material[Poron],-7.365325346326633e-19,-7.365325346326633e-19,0.5000000000000001,1.0000000000000002,2.442151877045586e-18,-7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19
foam_thickness[2.39],2.442151877045586e-18,2.442151877045586e-18,2.442151877045586e-18,2.442151877045586e-18,1.0000000000000002,2.442151877045586e-18,2.442151877045586e-18,2.442151877045586e-18,2.442151877045586e-18,2.442151877045586e-18,2.442151877045586e-18,3.01977274926745e-17,3.01977274926745e-17
metal[aluminum],7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19,2.442151877045586e-18,1.0000000000000002,0.5000000000000001,-7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19,7.365325346326633e-19,-7.365325346326633e-19
metal[ss mesh],7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19,2.442151877045586e-18,0.5000000000000001,1.0000000000000002,-7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19,7.365325346326633e-19,-7.365325346326633e-19
foam_material[H870]:foam_thickness[2.39],-7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19,2.442151877045586e-18,-7.365325346326633e-19,-7.365325346326633e-19,1.0000000000000002,0.5000000000000001,-7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19
foam_material[Poron]:foam_thickness[2.39],-7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19,2.442151877045586e-18,-7.365325346326633e-19,-7.365325346326633e-19,0.5000000000000001,1.0000000000000002,-7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19
foam_thickness[2.39]:metal[aluminum],7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19,2.442151877045586e-18,-7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19,1.0000000000000002,0.5000000000000001,7.365325346326633e-19,-7.365325346326633e-19
foam_thickness[2.39]:metal[ss mesh],7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19,2.442151877045586e-18,-7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19,0.5000000000000001,1.0000000000000002,7.365325346326633e-19,-7.365325346326633e-19
foam_thickness[2.39]:coil[8],-7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19,3.01977274926745e-17,7.365325346326633e-19,7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19,7.365325346326633e-19,7.365325346326633e-19,1.0000000000000002,0.5000000000000001
foam_thickness[2.39]:coil[10],-7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19,3.01977274926745e-17,-7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19,-7.365325346326633e-19,0.5000000000000001,1.0000000000000002
